key,title,year,journal,issn,url,location,Discipline (primary),Discipline (secondary),Study scale / case geography,Study time window,Social media platform(s),Geographic origin of posts/images (country/region),Data collection mode,Sampling/subsampling strategy,Dataset size (images),"Other dataset size (e.g., posts/users)",Metadata used?,Metadata types used,Is text used for interpretation?,Analysis method (primary),Analysis method (secondary),DS Methods,Computer vision task(s),Validation / reliability,Key findings (1–3 bullet points),Bias/limitations discussed?,Bias/limitation types,Ethics approval mentioned?,Privacy & de-identification measures,Are example images displayed?,Scholar affiliation continent(s),Cross-continent collaboration?,Continent2,Continent3,Cross-country,Limitations (authors' statements),Notes,Conclusion,Reviewer,QC Flags
rayyan-340815754,“Visual Affluence” in Social Photography: Applicability of Image Segmentation as a Visually Oriented Approach to Study Instagram Hashtags,2020,Social Media and Society,20563051 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087082553&doi=10.1177%2F2056305120924758&partnerID=40&md5=81a9d2a0241c7cfe0222c9ce6e85af7a,"[""University of Strathclyde, Glasgow, United Kingdom"", ""Middlesex University, London, United Kingdom""]",Communication,Information Management,Global,2019,Instagram,Global,Automated via API,,"1k–9,999",,Yes,Hashtags,No text used,Image Type Identification,Trends of images,Off-the-shelf model,Scene classification,Against gold standard,"• Image segmentation can be used as a meaning-independent measure of visual richness in social media images.
• Images with complex textures and detailed backgrounds show higher visual affluence than images with blur or flat backgrounds.
• Different Instagram hashtags exhibit statistically significant differences in visual affluence.",Yes,Platform bias,Not applicable,No example images shown,Yes,Europe,No,,,,"• Limited sample size and non-normal distributions across hashtag datasets
• Dependence on threshold values for image segmentation
• Data collected before Instagram API access restrictions","Methodological contribution introducing “visual affluence” as a scalable, non-semantic visual metric; emphasizes visually oriented analysis over meaning-based interpretation.",Include,Abi,
rayyan-340814277,3D visibility analysis for evaluating the attractiveness of tourism routes computed from social media photos,2021,ISPRS International Journal of Geo-Information,22209964 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106503928&doi=10.3390%2Fijgi10050275&partnerID=40&md5=aa5756635b221448044d66100a54ec0a,"[""Technion - Israel Institute of Technology, Mapping and Geo-Information Engineering, Haifa, Israel"", ""Technion - Israel Institute of Technology, Faculty of Architecture and Town Planning, Haifa, Israel""]",Tourism,,North America,2010-2016,Flickr,USA,Automated via API,,"100k–999,999","358,691 photos 22,665 users",Yes,Geotags,No text used,Geospatial Analysis,,Custom model,Other,Manual verification,compute and evaluate tourism walking routes,No,Other,No,No example images shown,No,Asia,No,,,,No,"Spatial (3D visibility) analysis of geotagged photos, only metadata used",Include,Lu,
rayyan-340807164,A complex network analysis of urban human mobility in Tokyo,2025,Travel Behaviour and Society,2214367X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000656491&doi=10.1016%2Fj.tbs.2025.101020&partnerID=40&md5=5e7710336cd3bc041e1f4af49776f2d1,"Institute of Science Tokyo, School of Environment and Society, Tokyo, Japan",Tourism,Interdisciplinary,Asia,2008-2019,Flickr,Japan,Automated via API,,"100k–999,999","150,688 photos 30,063 users",Yes,Geotags,No text used,Geospatial Analysis,,Off-the-shelf model,Other,Against gold standard,,No,Platform bias,No,No example images shown,No,Asia,No,,,,Geographical specificity further limits generalizability.,"Multi-step framework designed for empirical analysis, only metadata used",Include,Lu,
rayyan-340806986,A cross-cultural study of the dynamic multimodal metadiscourse used by American and Chinese NEV corporates on X,2025,Journal of Pragmatics,03782166 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010260370&doi=10.1016%2Fj.pragma.2025.06.011&partnerID=40&md5=e0821992ae6f6bc3c9d9a36d49c17648,"University of International Business and Economics, School of International Studies, Beijing, China",Business,,Global,2023-2024,Facebook,Global,Manual,,100–999,373 photos 194 videos,Yes,Comments,Full post text,Emotion Coding,,Custom model,Face/Emotion,Not reported,,Yes,Platform bias,No,Not mentioned,Yes,Asia,No,,,,Language and platform (BYD in Weibo),,Include,Lu,
rayyan-340810973,"A crowdsource approach to documenting users' preferences for landscape attributes in the proposed Appalachian Geopark Project in West Virginia, United States",2023,International Journal of Geoheritage and Parks,25774441 (ISSN); 2577445X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159357025&doi=10.1016%2Fj.ijgeop.2023.05.001&partnerID=40&md5=ca732770f8572931776d9eed0b2b2378,"[""West Virginia University, Natural Resources and Design, Morgantown, United States"", ""West Virginia University, Natural Resources and Design, Morgantown, United States"", ""Universidade Estadual de Ponta Grossa, Tourism Department, Ponta Grossa, Brazil"", ""West Virginia University, Division of Forestry and Natural Resources, Morgantown, United States""]",Environment & Landscape,Tourism,North America,2010-2020,Flickr,USA,Mixed,,"1k–9,999","2,945 photos",Yes,Geotags,No text used,Geospatial Analysis,,Fine-tuned model,Object detection,Against gold standard,"results, maps and charts are used in in the development of the final landscape character assessment for the proposed geopark region",Yes,Platform bias,No,Not mentioned,Yes,Multiple,Yes,North America,Latin America,,demographic information not collected,US and Brazil,Include,Lu,
rayyan-340814131,A machine learning approach to cluster destination image on Instagram,2021,Tourism Management,18793193 (ISSN); 02615177 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102648080&doi=10.1016%2Fj.tourman.2021.104318&partnerID=40&md5=cab0f0f1ec8e2c972ec23dd372c090db,"[""Johannes Kepler University Linz, Business Informatics and Data Science, Linz, Austria"", ""Fachhochschule Salzburg, Department of Innovation and Management in Tourism, Salzburg, Austria""]",Tourism,Business,Europe,2019,Instagram,Austria,Automated via API,,"100k–999,999","101,870 photos",Yes,URLs,No text used,Object Recognition,,Off-the-shelf model,Object detection,Not reported,"connects semiotics, marketing, and data science in the tourism context.
brings the knowledge from geocoding to the tourism context and highlights the importance of location-based images.
provides numerous implications for DMOs.",Yes,Other,No,Not mentioned,No,Europe,No,,,,"limited to Austria,
keep track of tourist movement over time,
each model has its own way of interpretation, the comparison between the clustering results might be far-fetched",,Include,Lu,
rayyan-340814419,Advancing sustainable development and protected area management with social media‐based tourism data,2021,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102537628&doi=10.3390%2Fsu13052427&partnerID=40&md5=e9ae40f759bd42960369133d3137132b,"[""Stanford Woods Institute for the Environment, Stanford, United States"", ""University of Washington, School of Environmental and Forest Sciences, Seattle, United States"", ""Puget Sound Partnership, Olympia, United States"", ""University of Washington, Nature and Health, Seattle, United States"", ""Stanford University, Center for Ocean Solutions, Stanford, United States""]",Tourism,Environment & Landscape,North America,2005-2014,Flickr,USA,Automated via API,,≥1M,,Yes,Geotags,No text used,Geospatial Analysis,,Custom model,Other,Not reported,,Yes,Geographic noise/mis-geotagging,Yes (IRB/REC),No example images shown,No,North America,No,,,,No,"Only Metadata used, sustainability",Maybe,Lu,
rayyan-340815706,Affective economy of national-populist images: Investigating national and transnational online networks through visual big data,2020,New Media and Society,14617315 (ISSN); 14614448 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071555599&doi=10.1177%2F1461444819868686&partnerID=40&md5=328fe033226642cdb229f5ed85117e78,"[""Tampere University, Tampere, Finland"", ""Helsingin Yliopisto, Helsinki, Finland""]",Psychology,Interdisciplinary,Europe,2009-2017,Facebook,Finland,Automated via API,,"1k–9,999",7607 images,Yes,Multiple,No text used,Comparing Images,Network Analysis,Off-the-shelf model,Scene classification,Not reported,"hrough image sharing, commenting and reacting, supporters are able to create and sustain connections with each other, to feel united and express their political identity, political emotions and belonging.",Yes,Other,Yes,No example images shown,No,Europe,No,,,,researchers should seek possibilities to investigate the historical paths and directions of image circulation,,Include,Lu,
rayyan-340815047,An expert with whom i can identify: the role of narratives in influencer marketing,2021,International Journal of Advertising,17593948 (ISSN); 02650487 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092937576&doi=10.1080%2F02650487.2020.1824751&partnerID=40&md5=2f6966e9bab26b895d5d7ac93f1fc170,"[""San Diego State University, College of Professional Studies and Fine Arts, San Diego, United States"", ""University of Florida, Department of Advertising in the College of Journalism and Communications, Gainesville, United States"", ""Communication University of China, School of International Studies, Beijing, China""]",Business,,Global,Not mentioned,Instagram,Global,Automated via API,,"1k–9,999",7745 posts,Yes,Multiple,Title only,Thematic Coding,,Off-the-shelf model,Scene classification,Inter-coder reliability,"all of these three post types contain a selfie,
expertise þ selfie and expertise þ friends posts received the largest number of “likes”,
expertise þ selfie and video þ selfie posts are most likely to be sponsored by brands.",Yes,Unrepresentative populations,No,No example images shown,No,Not mentioned,No,,,,"did not provide causal evidence for the effect of influencer-follower transportation on consumer attitudes,
without investigating their intentions and strategic considerations.",,Include,Lu,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340812364,Analysis of the Use of Color and Its Emotional Relationship in Visual Creations Based on Experiences during the Context of the COVID-19 Pandemic,2022,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140931482&doi=10.3390%2Fsu142012989&partnerID=40&md5=9bcd4b8da5eb194e7fa893de1a841557,"[""Universidad de Córdoba, Faculty of Education, Cordoba, Spain"", ""Universidad Adolfo Ibáñez, Facultad de Ingeniería y Ciencias, Santiago, Chile""]",Psychology,Interdisciplinary,Not mentioned,2021,Multiple,"Not mentioned, multiple",Automated via API,,"1k–9,999",1537 pics,No,,No text used,Emotion Coding,,Fine-tuned model,Face/Emotion,Not reported,"there is a high prevalence of analogous and complementary harmonies.
Some relevant correlations have been found at the level of color and emotion.",No,,No,Not mentioned,Yes,Europe,No,,,,Not mentioned,"Instagram+WikiArt,",Include,Lu,
